id,title,description,advice,criterionCode,keywords,crawler,crawlerTestId,status,impact,responsibility,createdAt,updatedAt
76cb5a4c-8c18-4649-a2d6-3a8bd7714ff7,Tekstalternatief verborgen,"Op pagina URL bevinden zich afbeeldingen waarbij het tekstalternatief verborgen is met `display:none`, `visibility:hidden` of `aria-hidden=""true""`. Hierdoor is het tekstalternatief niet beschikbaar voor hulpsoftware.","Verwijder `display:none`, `visibility:hidden` of `aria-hidden=""true""` van het tekstalternatief zodat deze weer beschikbaar wordt voor hulpsoftware. Tekst die visueel verborgen is, maar voor hulpsoftware wel beschikbaar moet zijn, moet op een andere manier verborgen worden. Dit kan bijvoorbeeld met een .sr-only class in CSS of met de clip-methode.",1.1.1,,false,,open,matig,ontwikkelaar,Tue Feb 10 2026 11:19:53 GMT+0100 (Midden-Europese standaardtijd),Tue Feb 10 2026 11:30:06 GMT+0100 (Midden-Europese standaardtijd)
c134b1ff-7a22-4d3d-a698-ea3d535144de,Rijksoverheid lint,"Op alle pagina's staat het beeldmerk (lint) van de Rijksoverheid, te herkennen aan een donkerblauw balkje met daarin een ""wapen"". Het gebruik van dit lint toont aan dat deze website en de organisatie onderdeel is van de Rijksoverheid. Het lint is daarom informatief. Er is nu geen tekstalternatief voor deze informatie beschikbaar.","Voeg het woord ""Rijksoverheid"" toe aan het tekstalternatief.",1.1.1,,false,,open,klein,redacteur,Tue Feb 10 2026 11:19:53 GMT+0100 (Midden-Europese standaardtijd),Tue Feb 10 2026 11:43:55 GMT+0100 (Midden-Europese standaardtijd)
107f8c79-2fdd-4bf9-9a7f-0ae4665c43cc,Icoon extern venster zonder tekstalternatief,Op de pagina URL bevindt zich een icoon wat communiceert dat een link wordt geopend in een nieuw venster. Dit icoon mist een tekstalternatief. Hierdoor wordt niet gepresenteerd door hulpsoftware dat de link in een nieuw venster zal openen.,"Over het algemeen wordt afgeraden links in een nieuw venster te openen. Mocht dit toch nodig/wenselijk zijn in de context, voeg dan een tekstalternatief toe aan het icoon, bijvoorbeeld ""Opent in nieuw venster"".",1.1.1,,false,,open,matig,redacteur,Tue Feb 10 2026 11:19:53 GMT+0100 (Midden-Europese standaardtijd),Tue Feb 10 2026 11:52:00 GMT+0100 (Midden-Europese standaardtijd)
3a4376c8-eea7-49b3-b23c-fcc0f0426ad4,CSS Pseudo-element: Tekstalternatief ontbreekt,"Op pagina URL wordt met CSS een icoontje geplaatst bij X. Dit icoontje is informatief, maar er is geen tekstalternatief beschikbaar. Hierdoor is de informatie van dit icoontje niet waarneembaar voor iedereen die afhankelijk is van een schermlezer of braille. Een tekstalternatief is altijd verplicht voor informatieve icoontjes, ook als icoontjes worden geplaatst met pseudo-elementen via CSS.","Via CSS kan het tekstalternatief worden geplaatst. Pas hiervoor de CSS aan van het pseudo-element (`:before` of `:after`). 
Een voorbeeld:
```
.informative-icon:before {
  content: ""\25BA / ""Tekst alternatief"";
}
```
Uitgebreide voorbeelden van hoe tekstalternatieven werken in CSS via pseudo-elementen zijn te vinden in het [code-voorbeeld op CodePen.io](https://codepen.io/cardan-a11y/pen/dyBjWPK).",1.1.1,,false,,open,matig,ontwikkelaar,Tue Feb 10 2026 11:19:53 GMT+0100 (Midden-Europese standaardtijd),Tue Feb 10 2026 11:55:21 GMT+0100 (Midden-Europese standaardtijd)
e097689a-a55b-46eb-a20f-41b11f19d1ce,CSS Pseudo-element: Decoratief,"Op pagina URL wordt met CSS een icoontje geplaatst bij X. Dit icoontje is decoratief, maar hulpsoftware leest deze nu wel voor. Het icoontje is geplaatst met behulp van een CSS pseudo-element (`:before`) of `:after`). De schermlezer leest nu voor: X. Zorg ervoor dat hulpsoftware het icoontje kan negeren.","Ook met CSS kan worden aangegeven worden of dit icoontje genegeerd moet worden door bijvoorbeeld een schermlezer. Hieronder volgt een voorbeeld:
```
.decorative-icon:before {
  content: ""🐱"" / """";
}
```
De schermlezer zal het icoontje niet meer voorlezen door in de CSS `content` gebruik te maken van een extra _forward-slash_{lang=en} `/` met daarachter een leeg tekstalternatief.
Uitgebreide voorbeelden van hoe tekstalternatieven werken in CSS via pseudo-elementen zijn te vinden in het [code-voorbeeld op CodePen.io](https://codepen.io/cardan-a11y/pen/dyBjWPK).",1.1.1,,false,,open,klein,ontwikkelaar,Tue Feb 10 2026 11:19:53 GMT+0100 (Midden-Europese standaardtijd),Tue Feb 10 2026 11:56:33 GMT+0100 (Midden-Europese standaardtijd)
f8a71d2a-9091-43f7-a9ca-e9b2f41f60d7,CAPTCHA uitzondering,"Op pagina X wordt een CAPTCHA gebruikt. Deze is niet volledig inhoudelijk getest, omdat de inhoud elke keer anders is. Er is gebruik gemaakt van de uitzondering voor CAPTCHA's, die uitzondering zorgt ervoor dat er voldaan wordt aan dit succescriterium. Hiernaast moet de CAPTCHA ook op een toegankelijke manier gebruikt kunnen worden. De CAPTCHA moet dus voldoen aan alle overige succescriteria. ","Het advies is om geen gebruik te maken van CAPTCHA's, omdat deze altijd een drempel voor toegankelijkheid zijn. Zie de Engelstalige pagina https://www.w3.org/TR/turingtest/ voor meer informatie en eventuele alternatieven. Het aanbieden van een toegankelijk alternatief voor de hele CAPTCHA is ook een optie.",1.1.1,,false,,resolved,onbekend,onbekend,Tue Feb 10 2026 11:19:53 GMT+0100 (Midden-Europese standaardtijd),Tue Feb 10 2026 11:59:44 GMT+0100 (Midden-Europese standaardtijd)
0b8a2a98-cc9a-4f96-bf0d-3aec05b2cef4,Afbeelding en tekst als aparte links,Op de pagina URL bevindt zich een afbeelding met link en zichtbare tekst met dezelfde link. Hierdoor moet iemand die een toetsenbord gebruikt om door de pagina te navigeren langs beide links.,"Dit kan worden opgelost door de afbeelding en de tekst in één linkelement te plaatsen. Zo wordt de afbeelding decoratief binnen de link en hoeft de gebruiker maar één keer te navigeren.

Voorbeeld:

```html
<a href="""">
  <img src="""" alt=""""> Bekijk de details
</a>
```

Gebruik een lege alt-tekst bij decoratieve afbeeldingen binnen links om dubbele informatie voor schermlezers te voorkomen.",1.1.1,,false,,resolved,klein,ontwikkelaar,Tue Feb 10 2026 11:19:53 GMT+0100 (Midden-Europese standaardtijd),Tue Feb 10 2026 12:03:50 GMT+0100 (Midden-Europese standaardtijd)
455a8cca-9b7a-47ac-9542-cfc361953cd8,PDF - Afbeeldingen niet-getagde PDF,"Het volgende PDF-document is niet getagd. Hierdoor zijn informatieve afbeeldingen niet gemarkeerd als `<Figure>` en hebben zij geen tekstalternatief. Mensen die blind zijn en een schermlezer gebruiken krijgen deze informatie daardoor niet aangeboden. Omdat het document niet is getagd, is niet vast te stellen of afbeeldingen correct zijn verwerkt. Hierdoor wordt dit nu niet afgekeurd. Zodra het document wel wordt getagd, kan blijken dat informatieve afbeeldingen ontbreken of onjuist zijn getagd.","Zorg dat de PDF wordt voorzien van een volledige tags-structuur en maak daarbij onderscheid tussen informatieve en decoratieve afbeeldingen.

- Tag informatieve afbeeldingen als `<Figure>` en geef deze van een kort en beschrijvend tekstalternatief dat de functie of inhoud van de afbeelding samenvat.
- Markeer decoratieve afbeeldingen als artefact zodat deze worden genegeerd door schermlezers.",1.1.1,,false,,resolved,serieus,redacteur,Tue Feb 10 2026 11:19:53 GMT+0100 (Midden-Europese standaardtijd),Tue Feb 10 2026 11:47:27 GMT+0100 (Midden-Europese standaardtijd)
befb62ba-a38b-4ad7-97de-40ccd089b87c,Video of animatie zonder tekstalternatief,"Op pagina URL staat een video. Bij deze video ontbreekt een tekstalternatief. Een ziende gebruiker kan zien dat er een video staat en waar de video over gaat. Als je afhankelijk bent van een schermlezer moet het tekstalternatief vertellen wat er staat (een video) en waar deze over gaat, bijvoorbeeld ""Video: X"".","Voor een video of animatie geldt dat er direct vóór (bij voorkeur) of direct na de video een korte omschrijving staat van wat in de video of animatie te zien is. Dit kan bijvoorbeeld met een titel (bijvoorbeeld in een kop) die direct boven de video staat, of in een zin of alinea direct boven de video.

De uitleg mag ook verder weg staan van de video, maar alleen als er een directe verwijzing staat naar de video.

Let op: In YouTube-video's staat ook vaak een titel in de video zelf. Dit volstaat niet als titel of omschrijving van de video.",1.1.1,,false,,open,onbekend,redacteur,Tue Feb 10 2026 11:19:53 GMT+0100 (Midden-Europese standaardtijd),Tue Feb 10 2026 11:27:29 GMT+0100 (Midden-Europese standaardtijd)
60f79d7a-49a6-45ed-92ee-96ff9697f0b4,"Tekstalternatief met ""Afbeelding van...""","Op pagina (URL) staan afbeeldingen met een tekstalternatief dat begint met woorden als ""Afbeelding van"" of ""Foto van"". Voor mensen die een schermlezer of brailleleesregel gebruiken is dit niet nodig. Hulpsoftware geeft namelijk al aan dat het om een afbeelding gaat. Door deze extra woorden wordt de informatie langer en minder prettig om te beluisteren of te lezen.","Laat in het tekstalternatief woorden als ""afbeelding"", ""foto"" of ""plaatje"" weg en beschrijf direct de inhoud of functie van de afbeelding.

Voorbeeld:

```html
<img src=""team.jpg"" alt=""Projectteam in overleg aan een tafel"">
```

In specifieke situaties is het wel zinvol om het type afbeelding te noemen. Doe dit alleen als het verschil belangrijk is voor het begrip.

Voorbeelden:

• Een schets van een straatbeeld in plaats van een foto van die straat.
• Een karikatuur van een persoon in plaats van een foto van die persoon.

Voorbeeld:

```html
<img src=""straat-schets.png"" alt=""Schets van een druk stadsplein met mensen"">
```",1.1.1,,false,,resolved,klein,redacteur,Tue Feb 10 2026 11:19:53 GMT+0100 (Midden-Europese standaardtijd),Tue Feb 10 2026 11:33:23 GMT+0100 (Midden-Europese standaardtijd)
